sku,name,category,price,description
PROD-001,Cockpit Cleaner Shine 500 ml,Car Care,12.99,Provides long-lasting shine for interiors
PROD-002,Leather care conditioner 500 ml,Leather Care,15.5,Keeps leather soft & prevents cracks
PROD-003,Cockpit Cleaner Matt 500 ml,Car Care,13.49,"Cleans dashboards, leaves matt finish"
PROD-004,Leather care for furniture 500 ml,Leather Care,14.99,Protects leather furniture
PROD-005,Leather couches 500 ml,Leather Care,16.25,Maintains leather couches
PROD-006,Bags 500 ml,Leather Care,11.99,Protects and shines leather bags
PROD-007,Jackets 500 ml,Leather Care,17.5,Restores leather jackets
PROD-008,Saddles Leather cleaner 500 ml,Leather Care,19,Cleans and maintains saddles
PROD-009,Upholstery Cleaner Spray 500 ml,Car Care,13.75,Removes stains from upholstery
PROD-010,Polychrom rim cleaner 500 ml,Car Care,12,Cleans and shines rims